loan_id,loan_type,borrower_segment,sector,bureau_score,loan_amount,tenure_months,interest_rate,emi_to_income_ratio,collateral_coverage_ratio,utilization_ratio,dpd_last_3m,dpd_last_12m_max,num_restructures,existing_npa_flag,sector_stress_index,gst_filing_delay_days,turnover_decline_pct_yoy,vintage_months,news_headline_text,news_sentiment_score,txn_narration_sample,gst_remark_text,true_pd_12m,default_12m
L100000,MSME,Business-Owner,Hospitality,691.0,2092000.0,216,7.1,0.382,1.244,0.825,0,6,1,0,0.511,1.7,23.4,60,continues routine operations this quarter,0.049,VENDOR PAYMENT NEFT,FILED ON TIME - NO DISCREPANCY,0.1575,1
L100001,Retail-Auto,Self-Employed,Textiles,588.0,230556.0,17,9.24,0.334,0.454,0.475,2,4,0,0,0.675,0.7,2.89,22,files regular GST returns on schedule,0.007,ECS BOUNCE CHARGES,FILED ON TIME - NO DISCREPANCY,0.5551,1
L100002,Corporate,Corporate-Entity,IT/ITES,856.0,113695.0,108,6.0,0.422,1.224,0.795,2,3,0,0,0.412,0.2,9.41,113,files regular GST returns on schedule,0.198,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0112,0
L100003,MSME,Business-Owner,Construction,846.0,312262.0,137,14.21,0.26,0.368,0.51,1,5,1,0,0.696,1.5,14.14,176,upgraded by rating agency on strong fundamentals,0.226,UTILITY BILL PAYMENT,DELAYED FILING - MISMATCH IN ITC CLAIM,0.0529,0
L100004,Retail-Personal,Salaried,Real Estate,493.0,145124.0,215,14.02,0.321,0.969,0.668,1,2,0,0,0.333,1.6,-8.21,64,wins large government infrastructure contract,0.537,GST PAYMENT,FILED ON TIME - NO DISCREPANCY,0.0727,0
L100005,Agri,Agri-Borrower,Manufacturing,696.0,685264.0,117,15.73,0.402,0.49,0.068,0,3,0,0,0.203,0.8,0.49,130,renews existing supplier agreements,0.3,SALARY CREDIT,FILED ON TIME - NO DISCREPANCY,0.0369,0
L100006,MSME,Business-Owner,Services,744.0,134886.0,188,12.56,0.581,0.609,0.411,1,5,1,0,0.845,9.2,-1.34,68,files regular GST returns on schedule,0.142,EMI AUTO DEBIT SUCCESS,FILED ON TIME - NO DISCREPANCY,0.1762,0
L100007,Corporate,Corporate-Entity,Hospitality,720.0,1290055.0,193,10.16,0.258,1.092,0.592,1,6,0,0,0.049,8.3,0.24,107,continues routine operations this quarter,-0.161,UTILITY BILL PAYMENT,FILED ON TIME - NO DISCREPANCY,0.076,0
L100008,Retail-Personal,Salaried,Agriculture,816.0,558985.0,128,14.57,0.217,1.372,0.484,1,2,0,0,0.653,5.2,10.92,98,continues routine operations this quarter,-0.081,VENDOR PAYMENT NEFT,FILED ON TIME - NO DISCREPANCY,0.034,0
L100009,Retail-Auto,Self-Employed,Trading,798.0,1335091.0,181,9.4,0.393,1.629,0.874,1,5,0,0,0.264,4.2,16.27,55,files regular GST returns on schedule,0.044,ECS BOUNCE CHARGES,FILED ON TIME - NO DISCREPANCY,0.0502,0
